Player,Pos,Age,Team,MinutesPlayed,FGpct,FTpct,TwoPointAttempt,TwoPointPct,ThreePointAttempt,ThreePointPct,twos_per_min
Jordan Poole,SG,22,GSW,2283,0.448,0.925,478,0.55,580,0.364,0.20937363118703461
Kevin Porter Jr.,PG,21,HOU,1907,0.415,0.642,395,0.456,413,0.375,0.20713162034609334
Otto Porter Jr.,PF,28,GSW,1396,0.464,0.803,200,0.565,216,0.37,0.14326647564469913
Bobby Portis,C,26,MIL,2028,0.479,0.752,533,0.533,338,0.393,0.26282051282051283
Dwight Powell,C,30,DAL,1798,0.671,0.783,364,0.703,37,0.351,0.20244716351501668
Taurean Prince,PF,27,MIN,1177,0.454,0.756,161,0.565,229,0.376,0.13678844519966016
Payton Pritchard,PG,24,BOS,1001,0.429,1,128,0.461,245,0.412,0.12787212787212787
Immanuel Quickley,PG,22,NYK,1802,0.392,0.881,328,0.448,396,0.346,0.18201997780244172
Julius Randle,PF,27,NYK,2544,0.411,0.756,856,0.458,390,0.308,0.33647798742138363
Austin Reaves,SG,23,LAL,1418,0.459,0.839,151,0.616,167,0.317,0.10648801128349789
Naz Reid,C,22,MIN,1215,0.489,0.765,310,0.568,166,0.343,0.2551440329218107
Josh Richardson,SG,28,TOT,1600,0.438,0.889,288,0.458,246,0.415,0.18
Austin Rivers,SG,29,DEN,1480,0.417,0.727,119,0.563,231,0.342,0.0804054054054054
Duncan Robinson,SG,27,MIA,2043,0.399,0.836,102,0.569,624,0.372,0.049926578560939794
Mitchell Robinson,C,23,NYK,1848,0.761,0.486,343,0.761,0,NA,0.1856060606060606
Terrence Ross,SG,30,ORL,1448,0.397,0.862,290,0.493,264,0.292,0.20027624309392264
Terry Rozier,SG,27,CHO,2458,0.444,0.852,574,0.516,593,0.374,0.2335231895850285
D'Angelo Russell,PG,25,MIN,2077,0.411,0.825,457,0.492,518,0.34,0.22002888781896968
Domantas Sabonis,PF,25,TOT,2136,0.573,0.741,648,0.623,125,0.312,0.30337078651685395
Dennis Schröder,PG,28,TOT,1837,0.431,0.853,474,0.477,250,0.344,0.2580293957539467
Alperen Şengün,C,19,HOU,1489,0.474,0.711,408,0.539,117,0.248,0.2740094022834117
Landry Shamet,SG,24,PHO,1437,0.394,0.84,151,0.45,334,0.368,0.10508002783576896
Pascal Siakam,PF,27,TOR,2578,0.494,0.749,989,0.527,218,0.344,0.38363072148952676
Marcus Smart,PG,27,BOS,2296,0.418,0.793,358,0.506,360,0.331,0.1559233449477352
