Indicator,short_name,Subgroup,time_period_label,time_period_start_date,Value,LowCI,HighCI
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Sep 2 - Sep 14, 2020",2020-09-02,18.1,16.5,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Sep 2 - Sep 14, 2020",2020-09-02,11.7,8.5,15.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Sep 2 - Sep 14, 2020",2020-09-02,13,11.8,14.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Sep 2 - Sep 14, 2020",2020-09-02,12.4,11.6,13.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Sep 2 - Sep 14, 2020",2020-09-02,10.5,9.7,11.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Sep 2 - Sep 14, 2020",2020-09-02,8.1,7.4,8.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Sep 2 - Sep 14, 2020",2020-09-02,5.9,5.3,6.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Sep 2 - Sep 14, 2020",2020-09-02,3.7,3.2,4.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Sep 2 - Sep 14, 2020",2020-09-02,3.5,2.3,5.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Sep 2 - Sep 14, 2020",2020-09-02,23.1,21.8,24.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Sep 2 - Sep 14, 2020",2020-09-02,24.3,23.1,25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Sep 2 - Sep 14, 2020",2020-09-02,23.8,22.6,25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Sep 2 - Sep 14, 2020",2020-09-02,23.5,22.3,24.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Sep 2 - Sep 14, 2020",2020-09-02,22.7,21.7,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Sep 2 - Sep 14, 2020",2020-09-02,19.3,17.6,21.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Sep 2 - Sep 14, 2020",2020-09-02,13.8,10.1,18.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Sep 2 - Sep 14, 2020",2020-09-02,15.9,14.5,17.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Sep 2 - Sep 14, 2020",2020-09-02,13.8,12.8,15
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Sep 2 - Sep 14, 2020",2020-09-02,11.2,10.2,12.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Sep 2 - Sep 14, 2020",2020-09-02,7.6,7,8.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Sep 2 - Sep 14, 2020",2020-09-02,5.3,4.8,5.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Sep 2 - Sep 14, 2020",2020-09-02,3.3,2.7,4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Sep 2 - Sep 14, 2020",2020-09-02,3.5,2.2,5.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Sep 16 - Sep 28, 2020",2020-09-16,19.1,17.2,21
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Sep 16 - Sep 28, 2020",2020-09-16,20,19,20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Sep 16 - Sep 28, 2020",2020-09-16,20.4,19.5,21.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Sep 16 - Sep 28, 2020",2020-09-16,21.2,20.1,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Sep 16 - Sep 28, 2020",2020-09-16,21,19.9,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Sep 16 - Sep 28, 2020",2020-09-16,16.6,15.1,18.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Sep 16 - Sep 28, 2020",2020-09-16,13.3,10.7,16.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Sep 16 - Sep 28, 2020",2020-09-16,12.1,11,13.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Sep 16 - Sep 28, 2020",2020-09-16,12.8,11.9,13.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Sep 16 - Sep 28, 2020",2020-09-16,10.4,9.5,11.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Sep 16 - Sep 28, 2020",2020-09-16,7.9,7.3,8.6
