Indicator,short_name,Subgroup,time_period_label,time_period_start_date,Value,LowCI,HighCI
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Oct 28 - Nov 9, 2020",2020-10-28,3.6,2.8,4.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Oct 28 - Nov 9, 2020",2020-10-28,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Nov 11 - Nov 23, 2020",2020-11-11,19.9,18.1,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Nov 11 - Nov 23, 2020",2020-11-11,21.9,20.4,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Nov 11 - Nov 23, 2020",2020-11-11,21.9,20.6,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Nov 11 - Nov 23, 2020",2020-11-11,24.6,23,26.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Nov 11 - Nov 23, 2020",2020-11-11,22.2,20.8,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Nov 11 - Nov 23, 2020",2020-11-11,18.9,16.8,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Nov 11 - Nov 23, 2020",2020-11-11,13.8,10.5,17.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Nov 11 - Nov 23, 2020",2020-11-11,15,13.3,16.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Nov 11 - Nov 23, 2020",2020-11-11,13.4,12.2,14.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Nov 11 - Nov 23, 2020",2020-11-11,11.6,10.6,12.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Nov 11 - Nov 23, 2020",2020-11-11,8.7,7.9,9.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Nov 11 - Nov 23, 2020",2020-11-11,6,5.1,7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Nov 11 - Nov 23, 2020",2020-11-11,4.1,3.3,5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Nov 11 - Nov 23, 2020",2020-11-11,3.8,2,6.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Nov 11 - Nov 23, 2020",2020-11-11,25.5,23.4,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Nov 11 - Nov 23, 2020",2020-11-11,26.8,25.1,28.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Nov 11 - Nov 23, 2020",2020-11-11,26.1,24.9,27.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Nov 11 - Nov 23, 2020",2020-11-11,26.9,25.3,28.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Nov 11 - Nov 23, 2020",2020-11-11,23.5,22.1,24.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Nov 11 - Nov 23, 2020",2020-11-11,19.9,17.9,22
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Nov 11 - Nov 23, 2020",2020-11-11,15.1,11.7,19
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Nov 11 - Nov 23, 2020",2020-11-11,18.7,17,20.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Nov 11 - Nov 23, 2020",2020-11-11,15.4,14.2,16.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Nov 11 - Nov 23, 2020",2020-11-11,11.9,10.9,13
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Nov 11 - Nov 23, 2020",2020-11-11,10.7,9.7,11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Nov 11 - Nov 23, 2020",2020-11-11,6.3,5.4,7.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Nov 11 - Nov 23, 2020",2020-11-11,3.4,2.6,4.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Nov 11 - Nov 23, 2020",2020-11-11,2.9,1.3,5.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Nov 25 - Dec 7, 2020",2020-11-25,20,18,22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Nov 25 - Dec 7, 2020",2020-11-25,21.1,19.9,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Nov 25 - Dec 7, 2020",2020-11-25,23.1,21.8,24.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Nov 25 - Dec 7, 2020",2020-11-25,24.3,22.8,25.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Nov 25 - Dec 7, 2020",2020-11-25,20.7,19.4,22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Nov 25 - Dec 7, 2020",2020-11-25,19.5,17.6,21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Nov 25 - Dec 7, 2020",2020-11-25,12.5,9.5,16.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Nov 25 - Dec 7, 2020",2020-11-25,13.1,11.8,14.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Nov 25 - Dec 7, 2020",2020-11-25,14.2,13,15.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Nov 25 - Dec 7, 2020",2020-11-25,12,10.9,13.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Nov 25 - Dec 7, 2020",2020-11-25,9.9,8.9,10.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Nov 25 - Dec 7, 2020",2020-11-25,6.2,5.2,7.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Nov 25 - Dec 7, 2020",2020-11-25,4.5,3.5,5.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Nov 25 - Dec 7, 2020",2020-11-25,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Nov 25 - Dec 7, 2020",2020-11-25,24.8,22.9,26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Nov 25 - Dec 7, 2020",2020-11-25,26.9,25.5,28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Nov 25 - Dec 7, 2020",2020-11-25,27.2,26,28.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Nov 25 - Dec 7, 2020",2020-11-25,27.4,25.9,29
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Nov 25 - Dec 7, 2020",2020-11-25,22.6,21.3,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Nov 25 - Dec 7, 2020",2020-11-25,20.7,18.8,22.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Nov 25 - Dec 7, 2020",2020-11-25,14.6,10.4,19.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Nov 25 - Dec 7, 2020",2020-11-25,21.8,19.8,24
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Nov 25 - Dec 7, 2020",2020-11-25,17.2,15.8,18.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Nov 25 - Dec 7, 2020",2020-11-25,13.5,12.4,14.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Nov 25 - Dec 7, 2020",2020-11-25,9.5,8.5,10.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Nov 25 - Dec 7, 2020",2020-11-25,6,5.2,6.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Nov 25 - Dec 7, 2020",2020-11-25,3.2,2.5,3.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Nov 25 - Dec 7, 2020",2020-11-25,3.6,2,6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Dec 9 - Dec 21, 2020",2020-12-09,19.9,17.7,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Dec 9 - Dec 21, 2020",2020-12-09,22.1,20.6,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Dec 9 - Dec 21, 2020",2020-12-09,22.2,20.9,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Dec 9 - Dec 21, 2020",2020-12-09,23.6,21.8,25.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Dec 9 - Dec 21, 2020",2020-12-09,22.4,21.1,23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Dec 9 - Dec 21, 2020",2020-12-09,19.6,17.9,21.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Dec 9 - Dec 21, 2020",2020-12-09,21,15.8,27
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Dec 9 - Dec 21, 2020",2020-12-09,12.7,11.3,14.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Dec 9 - Dec 21, 2020",2020-12-09,15.3,14.1,16.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Dec 9 - Dec 21, 2020",2020-12-09,11.4,10.5,12.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Dec 9 - Dec 21, 2020",2020-12-09,9.9,8.9,10.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Dec 9 - Dec 21, 2020",2020-12-09,5.8,5.1,6.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Dec 9 - Dec 21, 2020",2020-12-09,4.3,3.6,5.2
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Dec 9 - Dec 21, 2020",2020-12-09,9.2,5.2,14.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Dec 9 - Dec 21, 2020",2020-12-09,24.9,22.6,27.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Dec 9 - Dec 21, 2020",2020-12-09,27.7,26.3,29.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Dec 9 - Dec 21, 2020",2020-12-09,26,24.6,27.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Dec 9 - Dec 21, 2020",2020-12-09,26.5,24.8,28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Dec 9 - Dec 21, 2020",2020-12-09,23.8,22.5,25.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Dec 9 - Dec 21, 2020",2020-12-09,21,19.3,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Dec 9 - Dec 21, 2020",2020-12-09,22,16.8,27.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Dec 9 - Dec 21, 2020",2020-12-09,22.1,20.2,24
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Dec 9 - Dec 21, 2020",2020-12-09,17.2,16.1,18.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Dec 9 - Dec 21, 2020",2020-12-09,13.8,12.5,15.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Dec 9 - Dec 21, 2020",2020-12-09,10.4,9.1,11.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Dec 9 - Dec 21, 2020",2020-12-09,6,5.2,6.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Dec 9 - Dec 21, 2020",2020-12-09,4.4,3.4,5.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Dec 9 - Dec 21, 2020",2020-12-09,6.7,3.6,11.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Jan 6 - Jan 18, 2021",2021-01-06,20.7,18.7,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Jan 6 - Jan 18, 2021",2021-01-06,21.1,19.7,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Jan 6 - Jan 18, 2021",2021-01-06,21.5,20.1,22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Jan 6 - Jan 18, 2021",2021-01-06,20.6,19.4,21.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Jan 6 - Jan 18, 2021",2021-01-06,20.4,19.3,21.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Jan 6 - Jan 18, 2021",2021-01-06,20.7,18.3,23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Jan 6 - Jan 18, 2021",2021-01-06,16.6,13.6,19.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Jan 6 - Jan 18, 2021",2021-01-06,13.9,12.5,15.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Jan 6 - Jan 18, 2021",2021-01-06,13.2,12.2,14.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Jan 6 - Jan 18, 2021",2021-01-06,11.9,10.8,13.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Jan 6 - Jan 18, 2021",2021-01-06,8.1,7.2,9.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Jan 6 - Jan 18, 2021",2021-01-06,6.1,5.5,6.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Jan 6 - Jan 18, 2021",2021-01-06,4.6,3.2,6.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Jan 6 - Jan 18, 2021",2021-01-06,2.9,1.9,4.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Jan 6 - Jan 18, 2021",2021-01-06,25.7,23.7,27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Jan 6 - Jan 18, 2021",2021-01-06,26.5,25,28
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Jan 6 - Jan 18, 2021",2021-01-06,25.8,24.4,27.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Jan 6 - Jan 18, 2021",2021-01-06,23.2,21.8,24.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Jan 6 - Jan 18, 2021",2021-01-06,22.5,21.2,23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Jan 6 - Jan 18, 2021",2021-01-06,21.6,19.2,24.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Jan 6 - Jan 18, 2021",2021-01-06,18,14.8,21.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Dec 22, 2020 - Jan 5, 2021",2020-12-22,NA,NA,NA
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Jan 6 - Jan 18, 2021",2021-01-06,21,19.4,22.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Jan 6 - Jan 18, 2021",2021-01-06,16.3,15.1,17.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Jan 6 - Jan 18, 2021",2021-01-06,12.3,11.1,13.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Jan 6 - Jan 18, 2021",2021-01-06,9.5,8.6,10.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Jan 6 - Jan 18, 2021",2021-01-06,6,5.3,6.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Jan 6 - Jan 18, 2021",2021-01-06,3.3,2.6,4.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Jan 6 - Jan 18, 2021",2021-01-06,2.9,1.7,4.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Jan 20 - Feb 1, 2021",2021-01-20,20.9,18.6,23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Jan 20 - Feb 1, 2021",2021-01-20,20.9,19.7,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Jan 20 - Feb 1, 2021",2021-01-20,21.3,20,22.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Jan 20 - Feb 1, 2021",2021-01-20,23,21.7,24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Jan 20 - Feb 1, 2021",2021-01-20,21.7,20.5,23
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Jan 20 - Feb 1, 2021",2021-01-20,19.3,17.9,20.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Jan 20 - Feb 1, 2021",2021-01-20,16.5,13.6,19.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Jan 20 - Feb 1, 2021",2021-01-20,14.5,13.2,16
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Jan 20 - Feb 1, 2021",2021-01-20,13.6,12.7,14.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Jan 20 - Feb 1, 2021",2021-01-20,11.3,10.4,12.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Jan 20 - Feb 1, 2021",2021-01-20,8.7,8,9.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Jan 20 - Feb 1, 2021",2021-01-20,6,5.4,6.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Jan 20 - Feb 1, 2021",2021-01-20,4.2,3.5,4.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Jan 20 - Feb 1, 2021",2021-01-20,2.5,1.6,3.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Jan 20 - Feb 1, 2021",2021-01-20,27.2,24.9,29.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Jan 20 - Feb 1, 2021",2021-01-20,26.7,25.3,28.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Jan 20 - Feb 1, 2021",2021-01-20,25.3,23.9,26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Jan 20 - Feb 1, 2021",2021-01-20,25.9,24.5,27.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Jan 20 - Feb 1, 2021",2021-01-20,23.3,22.1,24.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Jan 20 - Feb 1, 2021",2021-01-20,20.3,18.9,21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Jan 20 - Feb 1, 2021",2021-01-20,16.9,14,20.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Jan 20 - Feb 1, 2021",2021-01-20,23.1,20.5,26
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Jan 20 - Feb 1, 2021",2021-01-20,16.2,14.9,17.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Jan 20 - Feb 1, 2021",2021-01-20,11.8,10.8,12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Jan 20 - Feb 1, 2021",2021-01-20,9.8,8.9,10.8
